"id","year","venue","felix_rating","zhanh_rating","domain","workstream","title","keywords","paper_url","github_url","github_note","demo_url","web_url","zhanh_note","felix_note","hanyu_note","obsidian_target"
"2026-arXiv-MuseCritic-Multi-Aspect-Song-Rewards","2026","arXiv","","5/5*","MusicEval","Reward-n-RL","MuseCritic: Learning Multi-Aspect Song Rewards through Natural-Language Aesthetic Critiques","MuseCritic；critique-then-score；multi-aspect reward","https://arxiv.org/abs/2608.11755","https://github.com/WuqnEl/MuseCritic","","","","五维 learned song reward；Music Arena 71.35% 是 overall preference 而非 beat。与 explicit BeatReward 互补，不能用 Musicality/Coherence 替代 rhythm-specific labels。","","","2026-arXiv-MuseCritic-Multi-Aspect-Song-Rewards"
"2026-ACL-Muse-Reproducible-Long-Form-Song-Generation","2026","ACL","","5/5*","MusicGen","RL","Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control","Muse；Qwen3-MuCodec；long-form generation","https://arxiv.org/abs/2601.03973","https://github.com/yuhui1038/Muse","","","https://huggingface.co/bolshyC/models","公开 0.6B 模型、116K song data、训练/推理/评价 pipeline；是 public post-training backbone，但 full mix 需先过 frozen separator bridge。","","","articles/2026-ACL-Muse-Reproducible-Long-Form-Song-Generation"
"2026-ICASSP-Automatic-Song-Aesthetics-Evaluation-Challenge","2026","ICASSP","","5/5*","MusicEval","Reward","The ICASSP 2026 Automatic Song Aesthetics Evaluation Challenge","ASAE；Hard set；Top-Tier Accuracy","https://arxiv.org/abs/2601.07237","https://github.com/ASLP-lab/SongEval","","https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/","https://2026.ieeeicassp.org/sp-grand-challenges/","官方 venue signal：generated-song automatic evaluation 与 RL reward 有明确研究价值；Hard set 强调 unseen-generator generalization。","","","articles/2026-ICASSP-Automatic-Song-Aesthetics-Evaluation-Challenge"
"2024-arXiv-Impact-of-Preference-Noise","2024","arXiv","","5/5*","LLM","Reward-n-RL","Impact of Preference Noise on the Alignment Performance of Generative Language Models","preference noise；label flip；confidence filtering","https://arxiv.org/abs/2404.09824","","","","","系统展示 preference noise 对 downstream alignment 的损害及 confidence filtering 的部分收益；直接支撑 pair correctness 与 noise-curve 实验。","","","articles/2024-arXiv-Impact-of-Preference-Noise"
"2026-arXiv-AdaGRPO-Noise-Robust-Generative-Recommendation","2026","arXiv","","5/5*","LLM","RL","Adaptive Loss Balancing for Noise-Robust GRPO in Generative Recommendation","AdaGRPO；selective admission；NLL fallback","https://arxiv.org/abs/2606.08480","","","","","只在 policy difficulty 和 reward discriminability 均通过时使用 GRPO，否则回到监督 NLL；是 confidence-gated GRPO 的直接方法先例。","","","articles/2026-arXiv-AdaGRPO-Noise-Robust-Generative-Recommendation"
"2022-NeurIPS-Defining-and-Characterizing-Reward-Hacking","2022","NeurIPS","","5/5*","LLM","Reward-n-RL","Defining and Characterizing Reward Hacking","hackability；unhackable proxy；policy-order equivalence","https://proceedings.neurips.cc/paper_files/paper/2022/hash/3d719fee332caa23d5038b8a90e81796-Abstract-Conference.html","","","","","理论上说明全策略空间的非平凡 unhackable proxy 需要极强的 policy-order equivalence；支持限制 policy set，而非声称完美 reward。","","","articles/2022-NeurIPS-Defining-and-Characterizing-Reward-Hacking"
"2024-ICLR-Confronting-Composite-RM-Overoptimization","2024","ICLR","","5/5*","LLM","Reward-n-RL","Confronting Reward Model Overoptimization with Constrained RLHF","constrained RLHF；usefulness threshold；Lagrange multiplier","https://proceedings.iclr.cc/paper_files/paper/2024/hash/5eee634cb9729b8bcc2ec9f2a46a74ae-Abstract-Conference.html","","","","","固定多 reward 加权存在不同 usefulness turning points；支持 beat objective + coverage/quality constraints，而非无限补偿式求和。","","","articles/2024-ICLR-Confronting-Composite-RM-Overoptimization"
"2024-NeurIPS-Scaling-Laws-Reward-Overoptimization-Direct-Alignment","2024","NeurIPS","","5/5*","LLM","RL","Scaling Laws for Reward Model Overoptimization in Direct Alignment Algorithms","direct-alignment overoptimization；KL budget；early degradation","https://proceedings.neurips.cc/paper_files/paper/2024/hash/e45caa3d5273d105b8d045e748636957-Abstract-Conference.html","","","","","DPO 也会随 KL budget 增大而退化，甚至一个 epoch 内发生；DPO 更可审计，但不免疫 overoptimization。","","","articles/2024-NeurIPS-Scaling-Laws-Reward-Overoptimization-Direct-Alignment"
"2025-COLM-Off-Policy-Corrected-Reward-Modeling","2025","CoLM","","5/5*","LLM","Reward-n-RL","Off-Policy Corrected Reward Modeling for Reinforcement Learning from Human Feedback","off-policy correction；current-policy data；reward refresh","https://openreview.net/forum?id=0zxugBcgF5","","","","https://arxiv.org/abs/2507.15507","将 overoptimization 解释为 reward-data 与 current-policy rollout mismatch；要求逐 checkpoint 重测 reward validity。","","","articles/2025-COLM-Off-Policy-Corrected-Reward-Modeling"
"2026-ACL-Omni-RewardBench","2026","ACL","","4.5/5*","Multimodal","Reward","Omni-RewardBench: Toward a Comprehensive Evaluation of Generative Reward Models Across Modalities","Omni-RewardBench；modality dominance；fusion failure","https://aclanthology.org/2026.acl-long.636/","","","","","揭示 perception failure、modality dominance、fusion failure；支持独立 MIR verifier 作为 learned judge 的感知审计层。","","","articles/2026-ACL-Omni-RewardBench"
"2026-arXiv-FlowSE-GRPO","2026","arXiv","","4.5/5*","SpeechEnhance","Reward-n-RL","FlowSE-GRPO: Training Flow Matching Speech Enhancement via Online Reinforcement Learning","FlowSE-GRPO；single-metric hacking；multi-metric reward","https://arxiv.org/abs/2601.16483","","","","","单独优化 DNSMOS、speaker similarity 或 SpeechBERTScore 会快速提分但损害其他 fidelity；证明 GRPO 能强推 proxy，真正风险是 policy-induced hacking。","","","articles/2026-arXiv-FlowSE-GRPO"
"2026-CVPR-GRPO-Guard-Regulated-Clipping","2026","CVPR","","4.5/5*","CV","RL","GRPO-Guard: Mitigating Implicit Over-Optimization in Flow Matching via Regulated Clipping","GRPO-Guard；regulated clipping；flow importance ratio","https://openaccess.thecvf.com/content/CVPR2026/html/Wang_GRPO-Guard_Mitigating_Implicit_Over-Optimization_in_Flow_Matching_via_Regulated_Clipping_CVPR_2026_paper.html","https://github.com/yifan123/flow_grpo","","https://jingw193.github.io/GRPO-Guard/","","揭示 proxy 上升、gold quality 下降的 optimizer-side 机制；即使底座不是 flow，也必须迁移 proxy/gold trajectory 与 clipping/ratio audit。","","","articles/2026-CVPR-GRPO-Guard-Regulated-Clipping"
"2026-ISMIR-Genre-Bias-or-Aesthetic-Perception","2026","ISMIR","","4.5/5*","MusicEval","Reward","Genre Bias or Aesthetic Perception? Identifying and Mitigating Shortcut Learning in Music Evaluation","genre shortcut；counterfactual augmentation；SongEval audit","https://arxiv.org/abs/2607.13903","","","","","证明 aesthetics predictor 可能把 genre 当 quality proxy；要求对 MIR reward 做 tempo/density/confidence subgroup audit，并降低 aesthetics correlation 的证据等级。","","","articles/2026-ISMIR-Genre-Bias-or-Aesthetic-Perception"
"2024-ISMIR-Beat-This-Accurate-Generalizable-Beat-Tracking","2024","ISMIR","","4.5/5*","MIR","Reward","Beat This! Accurate Beat Tracking Without DBN Postprocessing","Beat This；DBN-free tracking；beat/downbeat","https://arxiv.org/abs/2407.21658","https://github.com/CPJKU/beat_this","","","","公开、可复现的 detector transfer baseline；用于替代内部 Beat It，但 detector 本身不是 BeatReward novelty。","","","articles/2024-ISMIR-Beat-This-Accurate-Generalizable-Beat-Tracking"
"2026-arXiv-GDPO-Multi-Reward-Normalization","2026","arXiv","","4.5/5*","LLM","RL","GDPO: Group Reward-Decoupled Normalization Policy Optimization for Multi-Reward RL Optimization","GDPO；reward-decoupled normalization；variance hijacking","https://arxiv.org/abs/2601.05242","","","","","指出先求和再 group z-score 会让 reward 组合坍缩；beat + quality + coverage 应逐维归一化或采用 gate/Pareto。","","","articles/2026-arXiv-GDPO-Multi-Reward-Normalization"
"2025-arXiv-Aligning-Text-to-Music-Evaluation-with-Human-Preferences","2025","arXiv","","4.5/5*","MusicEval","Reward","Aligning Text-to-Music Evaluation with Human Preferences","human-aligned evaluation；metric meta-evaluation；pairwise validity","https://arxiv.org/abs/2503.16669","","","","","常见 TTM 指标与 human preference 可能很弱；支持 controlled construct test + real human validation + pair-level evaluation。","","","articles/2025-arXiv-Aligning-Text-to-Music-Evaluation-with-Human-Preferences"
"2025-arXiv-LeVo-SongGeneration-Traditional-Instruments-KB","2025","NeurIPS","","4.5/5*","MusicGen","Reward-n-RL","LeVo: High-Quality Song Generation with Multi-Preference Alignment","LeVo；dual-track tokens；multi-preference DPO","https://arxiv.org/abs/2506.07520","","","https://levo-demo.github.io/","","最接近 song-level multi-preference DPO；可借鉴多维偏好拆分与 dual-track tokens；官方 GitHub 于 2026-09-02 返回 404，故暂不列死链接。","","","articles/2025-arXiv-LeVo-SongGeneration-Traditional-Instruments-KB"
"2025-arXiv-Towards-Hallucination-Free-Music","2025","arXiv","","4.5/5*","MusicGen","Reward-n-RL","Towards Hallucination-Free Music: A Reinforcement Learning Framework for Hallucination Control","PER reward；hallucination control；DPO/PPO/GRPO","https://arxiv.org/abs/2508.05011","","","","","same-prompt PER filtering 与 DPO/PPO/GRPO 对照；objective reward 和 subjective lyric consistency 未完全同向，直接支撑 human guardrail。","","","articles/2025-arXiv-Towards-Hallucination-Free-Music"
"2023-ICML-Scaling-Laws-for-Reward-Model-Overoptimization","2023","ICML","","4.5/5*","LLM","Reward-n-RL","Scaling Laws for Reward Model Overoptimization","proxy/gold divergence；Best-of-N；scaling law","https://proceedings.mlr.press/v202/gao23h.html","","","","","Best-of-N 与 RL 都可能随优化压力增加而偏离 gold；要求 Best-of-K 同时报告 proxy、control 与 human 曲线。","","","articles/2023-ICML-Scaling-Laws-for-Reward-Model-Overoptimization"
"2024-ICLR-Reward-Model-Ensembles-Mitigate-Overoptimization","2024","ICLR","","4.5/5*","LLM","Reward-n-RL","Reward Model Ensembles Help Mitigate Overoptimization","worst-case ensemble；uncertainty weighting；conservative RLHF","https://proceedings.iclr.cc/paper_files/paper/2024/hash/dda7f9378a210c25e470e19304cce85d-Abstract-Conference.html","","","","","worst-case/uncertainty-weighted ensembles 配合小 KL 可缓解 overoptimization；共享 blind spot 仍需攻击测试。","","","articles/2024-ICLR-Reward-Model-Ensembles-Mitigate-Overoptimization"
"2024-NeurIPS-Provably-Mitigating-Overoptimization-RPO","2024","NeurIPS","","4.5/5*","LLM","RL","Provably Mitigating Overoptimization in RLHF: Your SFT Loss Is Implicitly an Adversarial Regularizer","RPO；SFT anchor；adversarial regularizer","https://proceedings.neurips.cc/paper_files/paper/2024/hash/fa69e968b7319fd42524febd41475fb3-Abstract-Conference.html","","","","","从 distribution shift/uncertainty 推导 DPO + SFT anchor；支持 pair filtering 之外约束 reference drift。","","","articles/2024-NeurIPS-Provably-Mitigating-Overoptimization-RPO"
"2025-IJCAI-NotaGen-Advancing-Musicality-in-Symbolic-Music-Generation","2025","IJCAI","","4.5/5*","MusicGen","Reward-n-RL","NotaGen: Advancing Musicality in Symbolic Music Generation with Large Language Model Training Paradigms","CLaMP-DPO；DPOP；iterative DPO","https://arxiv.org/abs/2502.18008","https://github.com/ElectricAlexis/NotaGen","","https://electricalexis.github.io/notagen-demo/","","自动 top/bottom preference construction、K=0 vs K=3、DPOP 与 human A/B 是我们的 pair recipe 和 iterative DPO 强参考。","","","articles/2025-IJCAI-NotaGen-Advancing-Musicality-in-Symbolic-Music-Generation"
"2025-arXiv-Group-Sequence-Policy-Optimization","2025","arXiv","","4.5/5*","LLM","RL","Group Sequence Policy Optimization","GSPO；sequence-level ratio；group sequence","https://arxiv.org/abs/2507.18071","","","","","sequence-level ratio 更贴合整段音乐 reward；适合 reward 成熟后的 P2，不替代当前 pair/reward qualification。","","","articles/2025-arXiv-Group-Sequence-Policy-Optimization"
"2019-ICML-SelectiveNet","2019","ICML","","0/5","MachineLearning","Reward","SelectiveNet: A Deep Neural Network with an Integrated Reject Option","SelectiveNet；reject option；risk-coverage","https://proceedings.mlr.press/v97/geifman19a.html","","","","","面向分类器 reject option 的经典工作，可借鉴 risk-coverage 表达，但与当前音乐 reward 和生成式 post-training 的直接关系很弱。","","","articles/2019-ICML-SelectiveNet"
"2025-arXiv-RE-PO-Robust-Enhanced-Policy-Optimization","2025","arXiv","","4.5/5*","LLM","RL","RE-PO: Robust Enhanced Policy Optimization as a General Framework for LLM Alignment","RE-PO；correctness posterior；EM reweighting","https://arxiv.org/abs/2509.24159","","","","","推断每条 label 的 posterior correctness 并重加权 preference loss；形式上最接近 confidence-weighted MIR pairs。","","","articles/2025-arXiv-RE-PO-Robust-Enhanced-Policy-Optimization"
"2026-ICLR-Learning-from-Noisy-Preferences-Semi-DPO","2026","ICLR","","4.5/5*","LLM","RL","Learning from Noisy Preferences: A Semi-Supervised Learning Approach to Direct Preference Optimization","Semi-DPO；preference conflict；semi-supervised DPO","https://proceedings.iclr.cc/paper_files/paper/2026/hash/17061a94c3c7fda5fa24bbdd1832fa99-Abstract-Conference.html","","","","","多维冲突被压成 binary label 会制造错误梯度；支持 consensus/Pareto clean pairs，冲突 pair abstain。","","","articles/2026-ICLR-Learning-from-Noisy-Preferences-Semi-DPO"
"2024-arXiv-UP-RLHF-Diverse-Reward-LoRA-Ensembles","2024","arXiv","","4.5/5*","LLM","Reward-n-RL","Uncertainty-Penalized RLHF with Diverse Reward LoRA Ensembles","UP-RLHF；reward LoRA ensemble；uncertainty penalty","https://arxiv.org/abs/2401.00243","","","","","支持用异构 reward ensemble 估计不确定性并保守优化；tracker 投票仍不等于正确。","","","articles/2024-arXiv-UP-RLHF-Diverse-Reward-LoRA-Ensembles"
"2024-CoLM-Helping-or-Herding-Reward-Ensembles","2024","CoLM","","4.5/5*","LLM","Reward-n-RL","Helping or Herding? Reward Model Ensembles Mitigate but Do Not Eliminate Reward Hacking","shared blind spots；ensemble hacking；reward diversity","https://arxiv.org/abs/2312.09244","","","","","ensemble 可缓解却不能消除 reward hacking；Madmom + Beat This 只能提供 uncertainty evidence。","","","articles/2024-CoLM-Helping-or-Herding-Reward-Ensembles"
"2025-ACL-T2A-Feedback","2025","ACL","","4.5/5*","AudioGen","Reward","T2A-Feedback: Improving Basic Capabilities of Text-to-Audio Generation via Fine-Grained AI Feedback","T2A-Feedback；event sequence；fine-grained feedback","https://arxiv.org/abs/2505.10561","","","","","evaluator 先验证 human preference，再构造 249K audio preference data；强支撑 evaluator-first protocol。","","","articles/2025-ACL-T2A-Feedback"
"2023-NeurIPS-Direct-Preference-Optimization","2023","NeurIPS","","4.5/5","LLM","RL","Direct Preference Optimization: Your Language Model Is Secretly a Reward Model","DPO；implicit reward；Bradley-Terry","https://arxiv.org/abs/2305.18290","","","","","提出 Direct Preference Optimization 的原始论文，以 Bradley-Terry/KL 推导直接优化偏好、绕开显式 reward model 和 PPO；是 DPO 方法源头，但不是整个 preference alignment/RLHF 的第一篇。","","","articles/2023-NeurIPS-Direct-Preference-Optimization"
"2026-arXiv-Video-Models-Can-Reason-with-Verifiable-Rewards","2026","arXiv","","1/5","CV","Reward-n-RL","Video Models Can Reason with Verifiable Rewards","VideoRLVR；verifiable reward；dense decomposition","https://arxiv.org/abs/2605.15458","https://github.com/luka-group/VideoRLVR","","https://darthzhu.github.io/VideoRLVR-page/","","并非只停留在概念：包含 SDE-GRPO、dense decomposed rewards、Early-Step Focus 及 Maze/FlowFree/Sokoban 实验；但其 verifier 建立在规则可判定的视觉谜题上，距离细粒度 music reward 很远，因此对本项目直接价值低。","","","articles/2026-arXiv-Video-Models-Can-Reason-with-Verifiable-Rewards"
"2025-NeurIPS-Flow-GRPO-Flow-Matching-Online-RL","2025","NeurIPS","","4/5*","CV","RL","Flow-GRPO: Training Flow Matching Models via Online RL","Flow-GRPO；ODE-to-SDE；online flow RL","https://arxiv.org/abs/2505.05470","https://github.com/yifan123/flow_grpo","","https://gongyeliu.github.io/Flow-GRPO/","","建立 flow-model online RL 基础；对当前 AR Qwen 主要是算法边界和 rollout engineering 参考。","","","articles/2025-NeurIPS-Flow-GRPO-Flow-Matching-Online-RL"
"2025-arXiv-Survey-Evaluation-Metrics-Music-Generation","2025","arXiv","","5/5","MusicEval","Reward","A Survey on Evaluation Metrics for Music Generation","metric taxonomy；human evaluation；cultural bias","https://arxiv.org/abs/2509.00051","","","","","Music generation evaluation metrics 与 music reward 的综述。","","","articles/2025-arXiv-Survey-Evaluation-Metrics-Music-Generation"
"Awesome RLVR Literature Review","2026","Web","","5/5","LLM","Reward-n-RL","Verifiable Reward 文献综述：Awesome RLVR Literature Review and Resource Registry","RLVR；verifiable reward；codebase registry","","https://github.com/opendilab/awesome-RLVR","","","https://rlvrbook.com/","系统汇总 verifiable reward、RLVR 方法、论文和代码资源，是追踪该方向进展与搭建 related-work 图谱的核心入口。","","","maps/Awesome RLVR Literature Review"
"2026-arXiv-Is-One-Layer-Enough-Single-Transformer-Layer-RL","2026","arXiv","","4/5*","LLM","RL","Is One Layer Enough? Training a Single Transformer Layer Can Match Full-Parameter RL Training","single-layer RL；layer contribution；LoRA placement","https://arxiv.org/abs/2607.01232","","","","","提醒不要默认全参或全层 LoRA；应先做 middle-layer/contribution-guided LoRA DPO 小规模验证。","","","articles/2026-arXiv-Is-One-Layer-Enough-Single-Transformer-Layer-RL"
"2026-arXiv-ADPO-Anchored-Ranking","2026","arXiv","","4/5*","LLM","RL","From Probability to Advantage: Unifying Alignment via Anchored Ranking","ADPO；anchored ranking；listwise preference","https://arxiv.org/abs/2510.18913","","","","","可利用同一 vocal 的全部 K candidates 做 ordinal/listwise alignment；当前缺少 audio validation，只作为 P1 stretch。","","","articles/2026-arXiv-ADPO-Anchored-Ranking"
"2026-arXiv-GIFT-Group-Relative-Implicit-Fine-Tuning","2026","arXiv","","4/5*","LLM","RL","GIFT: Group-Relative Implicit Fine-Tuning Integrates GRPO with DPO and UNA","GIFT；UNA；implicit advantage","https://arxiv.org/abs/2510.23868","","","","","匹配 explicit reward 与 DPO implicit reward 的 group-relative advantages；适合 reward 成熟后的 online exploration。","","","articles/2026-arXiv-GIFT-Group-Relative-Implicit-Fine-Tuning"
"2026-ISMIR-Song-Aesthetics-Multi-Stem-Attention","2026","ISMIR","","4/5*","MusicEval","Reward","Song Aesthetics Evaluation with Multi-Stem Attention and Hierarchical Uncertainty Modeling","multi-stem attention；hierarchical uncertainty；interval prediction","https://arxiv.org/abs/2601.12222","https://github.com/yisan33/song-aesthetics-evaluation","","","","支持 stem decomposition 与 uncertainty；也迫使我们突出无需 MOS 的 explicit timing construct 和 confidence calibration。","","","articles/2026-ISMIR-Song-Aesthetics-Multi-Stem-Attention"
"2024-arXiv-Provably-Robust-DPO","2024","arXiv","","4/5*","LLM","RL","Provably Robust DPO: Aligning Language Models with Noisy Feedback","robust DPO；symmetric label noise；noise correction","https://arxiv.org/abs/2403.00409","","","","","适合 random-noise baseline，但不覆盖 sample-dependent、结构化 MIR detector error。","","","articles/2024-arXiv-Provably-Robust-DPO"
"2025-arXiv-Noise-Corrected-GRPO","2025","arXiv","","4/5*","LLM","RL","Noise-Corrected GRPO: From Noisy Rewards to Unbiased Gradients","noise-corrected GRPO；flip probability；unbiased gradient","https://arxiv.org/abs/2510.18924","","","","","对 Bernoulli reward corruption 修正 gradient；对连续、相关、结构化音乐噪声只作数学对照。","","","articles/2025-arXiv-Noise-Corrected-GRPO"
"2024-NeurIPS-Geometric-Averaged-Preference-Optimization","2024","NeurIPS","","4/5*","LLM","RL","Geometric-Averaged Preference Optimization for Soft Preference Labels","geometric averaging；soft preference；tie-aware DPO","https://arxiv.org/abs/2409.06691","","","","","接近 50/50 的 pair 学习压力趋零，适合 calibrated confidence-weighted music DPO。","","","articles/2024-NeurIPS-Geometric-Averaged-Preference-Optimization"
"2022-arXiv-Conformal-Risk-Control","2022","arXiv","","0/5","MachineLearning","Reward","Conformal Risk Control","conformal risk control；finite-sample guarantee；calibration set","https://arxiv.org/abs/2208.02814","https://github.com/aangelopoulos/conformal-risk","","","","提供 conformal pair-risk/coverage 的统计工具，但与当前 music reward/post-training 缺少直接方法连接，因此仅作备用背景。","","","articles/2022-arXiv-Conformal-Risk-Control"
"2026-arXiv-Resonate-Online-Feedback-TTA","2026","arXiv","","4/5*","AudioGen","Reward-n-RL","Resonate: Reinforcing Text-to-Audio Generation via Online Feedback from Large Audio Language Models","Resonate；LALM feedback；online GRPO","https://arxiv.org/abs/2603.11661","","","","","说明 reward 成熟时 online GRPO 可优于 offline；不支持“DPO 普遍优于 GRPO”，反而强调先修 reward。","","","articles/2026-arXiv-Resonate-Online-Feedback-TTA"
"2026-arXiv-MuQ-Eval","2026","arXiv","","4/5*","MusicEval","Reward","MuQ-Eval: An Open-Source Per-Sample Quality Metric for AI Music Generation Evaluation","MuQ-Eval；per-sample quality；frozen MuQ","https://arxiv.org/abs/2603.22677","https://github.com/dgtql/MuQ-Eval","","","","最像 music DNSMOS/UTMOS 的开放 per-sample quality predictor；可用于 Best-of-K 和 DPO quality gate，但对结构扰动不敏感。","","","articles/2026-arXiv-MuQ-Eval"
"2026-arXiv-TuneJury","2026","arXiv","","4/5*","MusicEval","Reward-n-RL","TuneJury: An Open Metric for Improving Music Generation Preference Alignment","TuneJury；anchor calibration；pairwise reward","https://arxiv.org/abs/2606.17006","https://github.com/yonghyunk1m/TuneJury","","https://huggingface.co/spaces/TuneJury/tune-jury-demo","https://huggingface.co/spaces/TuneJury/tune-jury","开放 instance-level pairwise reward；可做 Best-of-N、pair filtering 和 OOD anchor calibration，但需验证 vocal-fit/beat sensitivity。","","","articles/2026-arXiv-TuneJury"
